"BehaviorSpace results (NetLogo 6.2.2)"
"visek_original.nlogo"
"orig"
"11/03/2022 12:38:52:421 +0200"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-25","25","-25","25"
"[run number]","v","eta","[step]","get-global-alignment","get-global-cc"
"5","1","30","42","0.7186737020769937","0.21333333333333335"
"2","1","0","44","0.8938971309883939","0.2733333333333333"
"1","1","0","45","0.9423154769968896","0.27666666666666667"
"6","1","30","43","0.7551572674465229","0.24333333333333335"
"3","1","0","44","0.9359085136680215","0.26666666666666666"
"4","1","30","43","0.6819309182967522","0.26666666666666666"
"5","1","30","43","0.7121408396164016","0.22"
"2","1","0","45","0.8946661564340457","0.23666666666666666"
"1","1","0","46","0.9437432287017189","0.27"
"6","1","30","44","0.7641484524864424","0.24666666666666667"
"3","1","0","45","0.9367378484228127","0.27666666666666667"
"4","1","30","44","0.7179722005139549","0.22666666666666666"
"2","1","0","46","0.8948162488436905","0.23666666666666666"
"5","1","30","44","0.7249258077846115","0.21333333333333335"
"1","1","0","47","0.9462571588213907","0.27"
"6","1","30","45","0.754071347741832","0.26"
"3","1","0","46","0.9400658643943022","0.2733333333333333"
"4","1","30","45","0.7302505677911847","0.21333333333333335"
"2","1","0","47","0.8949634107472015","0.25333333333333335"
"5","1","30","45","0.7296957449401937","0.25"
"1","1","0","48","0.9479281820938167","0.25"
"6","1","30","46","0.7483570943032295","0.24666666666666667"
"3","1","0","47","0.9423351724464176","0.25666666666666665"
"4","1","30","46","0.7513897393594431","0.23"
"2","1","0","48","0.8951953333136331","0.28"
"5","1","30","46","0.7292667362927082","0.24"
"1","1","0","49","0.9495508502945692","0.27666666666666667"
"6","1","30","47","0.7400655480723306","0.2833333333333333"
"3","1","0","48","0.9434780966755596","0.25"
"4","1","30","47","0.7574036330688021","0.22"
"2","1","0","49","0.8959395568098626","0.2733333333333333"
"5","1","30","47","0.7289977745380752","0.25333333333333335"
"1","1","0","50","0.9500839589132206","0.26666666666666666"
"6","1","30","48","0.7517146592518348","0.2833333333333333"
"3","1","0","49","0.9437960056246139","0.24666666666666667"
"2","1","0","50","0.896423185502513","0.25"
"4","1","30","48","0.74620077877133","0.26666666666666666"
"1","1","0","51","0.9503725935971505","0.25333333333333335"
"5","1","30","48","0.7375310887621793","0.23"
"6","1","30","49","0.7562794309012271","0.3"
"3","1","0","50","0.9439126772915114","0.27"
"2","1","0","51","0.8967964050485555","0.2833333333333333"
"4","1","30","49","0.749411382892031","0.27666666666666667"
"1","1","0","52","0.9506827095615993","0.26"
"5","1","30","49","0.7332078622343867","0.22333333333333333"
"6","1","30","50","0.7478183946650373","0.24666666666666667"
"3","1","0","51","0.9454199891329151","0.2833333333333333"
"2","1","0","52","0.898621764795894","0.2633333333333333"
"4","1","30","50","0.7441055373995868","0.25333333333333335"
"1","1","0","53","0.9511114343603759","0.24"
"5","1","30","50","0.7050963767067486","0.24666666666666667"
"6","1","30","51","0.7557961924661989","0.26666666666666666"
"2","1","0","53","0.9000915505766339","0.24666666666666667"
"3","1","0","52","0.945620915850929","0.24666666666666667"
"4","1","30","51","0.74087925542998","0.27"
"1","1","0","54","0.9521033583701027","0.25"
"5","1","30","51","0.7122350159771323","0.21666666666666667"
"2","1","0","54","0.9005308461339157","0.27"
"3","1","0","53","0.9456578068957665","0.25"
"6","1","30","52","0.7475728449042698","0.25666666666666665"
"4","1","30","52","0.7394875788842515","0.2633333333333333"
"5","1","30","52","0.7059862113060441","0.2"
"1","1","0","55","0.9521562107821157","0.25333333333333335"
"2","1","0","55","0.9022819604015347","0.24333333333333335"
"3","1","0","54","0.9456681042698026","0.25666666666666665"
"6","1","30","53","0.7565742468754745","0.21666666666666667"
"4","1","30","53","0.7482350452875921","0.2833333333333333"
"1","1","0","56","0.9526105361833485","0.24333333333333335"
"5","1","30","53","0.6989613016911953","0.22333333333333333"
"2","1","0","56","0.9029377564504362","0.26"
"3","1","0","55","0.9460591363709339","0.28"
"6","1","30","54","0.7622501327131088","0.21666666666666667"
"4","1","30","54","0.7512274513196224","0.29333333333333333"
"1","1","0","57","0.952887645705269","0.24333333333333335"
"5","1","30","54","0.702023175247168","0.26666666666666666"
"2","1","0","57","0.9052359416804321","0.24666666666666667"
"3","1","0","56","0.9487760037065184","0.25"
"6","1","30","55","0.764434804421887","0.25"
"1","1","0","58","0.9532352972830328","0.26666666666666666"
"4","1","30","55","0.7585033762169978","0.2866666666666667"
"5","1","30","55","0.7041237140192356","0.2866666666666667"
"2","1","0","58","0.9073251082940631","0.25666666666666665"
"3","1","0","57","0.9513898057075335","0.25666666666666665"
"6","1","30","56","0.7610112327078062","0.22"
"1","1","0","59","0.9544185085716854","0.24"
"4","1","30","56","0.753940939637324","0.25666666666666665"
"5","1","30","56","0.7098246353041534","0.22666666666666666"
"2","1","0","59","0.9081165734116401","0.23333333333333334"
"3","1","0","58","0.9531438050594657","0.24333333333333335"
"6","1","30","57","0.7486730731886313","0.2633333333333333"
"1","1","0","60","0.9549062259489283","0.25333333333333335"
"2","1","0","60","0.9085770827326062","0.25"
"5","1","30","57","0.6966565748996492","0.28"
"4","1","30","57","0.7443393407007182","0.23666666666666666"
"3","1","0","59","0.9538304085980809","0.27"
"1","1","0","61","0.955138681747234","0.2633333333333333"
"6","1","30","58","0.7562254615686164","0.24666666666666667"
"2","1","0","61","0.9088150771269218","0.22666666666666666"
"5","1","30","58","0.6792390140046757","0.25666666666666665"
"4","1","30","58","0.7463681061432952","0.28"
"3","1","0","60","0.9540174446886689","0.2733333333333333"
"1","1","0","62","0.9552329792207779","0.24333333333333335"
"6","1","30","59","0.7383009619426385","0.25"
"2","1","0","62","0.9089890153155658","0.20333333333333334"
"5","1","30","59","0.7047027416005592","0.2966666666666667"
"4","1","30","59","0.7128674092640488","0.26666666666666666"
"3","1","0","61","0.9540796649708955","0.25"
"1","1","0","63","0.9555261686200057","0.25"
"6","1","30","60","0.7454726893996066","0.24"
"2","1","0","63","0.9095689099712477","0.22"
"5","1","30","60","0.693914081046009","0.26666666666666666"
"3","1","0","62","0.9541909976087645","0.2633333333333333"
"1","1","0","64","0.9557720467578097","0.22333333333333333"
"4","1","30","60","0.7251155733113464","0.25"
"6","1","30","61","0.7427010589121587","0.22666666666666666"
"2","1","0","64","0.9102486919741329","0.23666666666666666"
"5","1","30","61","0.7082544940190788","0.27666666666666667"
"3","1","0","63","0.9542601614139166","0.25333333333333335"
